comp0_g1_i1	isogroup0
comp1_g1_i1	isogroup1
comp2_g1_i1	isogroup2
comp3_g1_i1	isogroup3
comp3_g1_i2	isogroup3
comp4_g1_i1	isogroup4
comp4_g1_i2	isogroup4
comp5_g1_i1	isogroup5
comp6_g1_i1	isogroup6
comp7_g1_i1	isogroup7
comp7_g1_i2	isogroup7
comp8_g1_i1	isogroup8
comp9_g1_i1	isogroup9
comp10_g1_i1	isogroup10
comp10_g1_i2	isogroup10
comp11_g1_i1	isogroup11
comp11_g1_i2	isogroup11
comp12_g1_i1	isogroup12
comp13_g1_i1	isogroup13
comp13_g1_i2	isogroup13
comp14_g1_i1	isogroup14
comp16_g1_i1	isogroup16
comp17_g1_i1	isogroup17
comp17_g1_i2	isogroup17
comp18_g1_i1	isogroup18
comp19_g1_i1	isogroup19
comp19_g1_i2	isogroup19
comp20_g1_i1	isogroup20
comp20_g1_i2	isogroup20
comp21_g1_i1	isogroup21
comp21_g1_i2	isogroup21
comp22_g1_i1	isogroup22
comp23_g1_i1	isogroup23
comp23_g1_i2	isogroup23
comp24_g1_i1	isogroup24
comp24_g1_i2	isogroup24
comp25_g1_i1	isogroup25
comp26_g1_i1	isogroup26
comp26_g1_i2	isogroup26
comp27_g1_i1	isogroup27
comp27_g1_i2	isogroup27
comp28_g1_i1	isogroup28
comp29_g1_i1	isogroup29
comp29_g1_i2	isogroup29
comp30_g1_i1	isogroup30
comp30_g1_i2	isogroup30
comp31_g1_i1	isogroup31
comp32_g1_i1	isogroup32
comp33_g1_i1	isogroup33
comp34_g1_i1	isogroup34
comp35_g1_i1	isogroup35
comp36_g1_i1	isogroup36
comp37_g1_i1	isogroup37
comp38_g1_i1	isogroup38
comp38_g1_i2	isogroup38
comp39_g1_i1	isogroup39
comp40_g1_i1	isogroup40
comp41_g1_i1	isogroup41
comp41_g1_i2	isogroup41
comp43_g1_i1	isogroup43
comp43_g2_i1	isogroup43
comp44_g1_i1	isogroup44
comp45_g1_i1	isogroup45
comp46_g1_i1	isogroup46
comp47_g1_i1	isogroup47
comp47_g1_i2	isogroup47
comp48_g1_i1	isogroup48
comp48_g1_i2	isogroup48
comp49_g1_i1	isogroup49
comp49_g1_i2	isogroup49
comp50_g1_i1	isogroup50
comp51_g1_i1	isogroup51
comp51_g1_i2	isogroup51
comp52_g1_i1	isogroup52
comp53_g1_i1	isogroup53
comp54_g1_i1	isogroup54
comp54_g1_i2	isogroup54
comp55_g1_i1	isogroup55
comp56_g1_i1	isogroup56
comp57_g1_i1	isogroup57
comp57_g1_i2	isogroup57
comp58_g1_i1	isogroup58
comp59_g1_i1	isogroup59
comp59_g1_i2	isogroup59
comp60_g1_i1	isogroup60
comp61_g1_i1	isogroup61
comp62_g1_i1	isogroup62
comp62_g1_i2	isogroup62
comp63_g1_i1	isogroup63
comp64_g1_i1	isogroup64
comp64_g1_i2	isogroup64
comp65_g1_i1	isogroup65
comp65_g1_i2	isogroup65
comp66_g1_i1	isogroup66
comp66_g1_i2	isogroup66
comp67_g1_i1	isogroup67
comp67_g1_i2	isogroup67
comp68_g1_i1	isogroup68
comp69_g1_i1	isogroup69
comp70_g1_i1	isogroup70
comp70_g1_i2	isogroup70
comp71_g1_i1	isogroup71
comp72_g1_i1	isogroup72
comp72_g1_i2	isogroup72
comp73_g1_i1	isogroup73
comp74_g1_i1	isogroup74
comp75_g1_i1	isogroup75
comp75_g2_i1	isogroup75
comp76_g1_i1	isogroup76
comp76_g1_i2	isogroup76
comp77_g1_i1	isogroup77
comp78_g1_i1	isogroup78
comp79_g1_i1	isogroup79
comp80_g1_i1	isogroup80
comp80_g1_i2	isogroup80
comp81_g1_i1	isogroup81
comp81_g1_i2	isogroup81
comp82_g1_i1	isogroup82
comp82_g1_i2	isogroup82
comp83_g1_i1	isogroup83
comp84_g1_i1	isogroup84
comp85_g1_i1	isogroup85
comp86_g1_i1	isogroup86
comp86_g1_i2	isogroup86
comp87_g1_i1	isogroup87
comp88_g1_i1	isogroup88
comp88_g1_i2	isogroup88
comp89_g1_i1	isogroup89
comp90_g1_i1	isogroup90
comp91_g1_i1	isogroup91
comp92_g1_i1	isogroup92
comp93_g1_i1	isogroup93
comp94_g1_i1	isogroup94
comp94_g1_i2	isogroup94
comp95_g1_i1	isogroup95
comp96_g1_i1	isogroup96
comp97_g1_i1	isogroup97
comp97_g1_i2	isogroup97
comp98_g1_i1	isogroup98
comp98_g1_i2	isogroup98
comp99_g1_i1	isogroup99
comp99_g1_i2	isogroup99
comp100_g1_i1	isogroup100
comp101_g1_i1	isogroup101
comp102_g1_i1	isogroup102
comp103_g1_i1	isogroup103
comp103_g1_i2	isogroup103
comp104_g1_i1	isogroup104
comp105_g1_i1	isogroup105
comp106_g1_i1	isogroup106
comp107_g1_i1	isogroup107
comp107_g1_i2	isogroup107
comp108_g1_i1	isogroup108
comp108_g1_i2	isogroup108
comp109_g1_i1	isogroup109
comp110_g1_i1	isogroup110
comp111_g1_i1	isogroup111
comp112_g1_i1	isogroup112
comp112_g1_i2	isogroup112
comp113_g1_i1	isogroup113
comp113_g1_i2	isogroup113
comp114_g1_i1	isogroup114
comp114_g1_i2	isogroup114
comp115_g1_i1	isogroup115
comp115_g1_i2	isogroup115
comp116_g1_i1	isogroup116
comp117_g1_i1	isogroup117
comp118_g1_i1	isogroup118
comp119_g1_i1	isogroup119
comp120_g1_i1	isogroup120
comp120_g1_i2	isogroup120
comp121_g1_i1	isogroup121
comp122_g1_i1	isogroup122
comp122_g1_i2	isogroup122
comp123_g1_i1	isogroup123
comp124_g1_i1	isogroup124
comp124_g1_i2	isogroup124
comp125_g1_i1	isogroup125
comp125_g1_i2	isogroup125
comp126_g1_i1	isogroup126
comp127_g1_i1	isogroup127
comp128_g1_i1	isogroup128
comp128_g1_i2	isogroup128
comp129_g1_i1	isogroup129
comp129_g1_i2	isogroup129
comp130_g1_i1	isogroup130
comp131_g1_i1	isogroup131
comp131_g1_i2	isogroup131
comp132_g1_i1	isogroup132
comp132_g1_i2	isogroup132
comp133_g1_i1	isogroup133
comp134_g1_i1	isogroup134
comp135_g1_i1	isogroup135
comp135_g1_i2	isogroup135
comp136_g1_i1	isogroup136
comp137_g1_i1	isogroup137
comp137_g1_i2	isogroup137
comp138_g1_i1	isogroup138
comp139_g1_i1	isogroup139
comp140_g1_i1	isogroup140
comp141_g1_i1	isogroup141
comp142_g1_i1	isogroup142
comp143_g1_i1	isogroup143
comp144_g1_i1	isogroup144
comp144_g1_i2	isogroup144
comp145_g1_i1	isogroup145
comp145_g1_i2	isogroup145
comp146_g1_i1	isogroup146
comp147_g1_i1	isogroup147
comp147_g1_i2	isogroup147
comp148_g1_i1	isogroup148
comp148_g1_i2	isogroup148
comp149_g1_i1	isogroup149
comp149_g1_i2	isogroup149
comp150_g1_i1	isogroup150
comp151_g1_i1	isogroup151
comp151_g1_i2	isogroup151
comp152_g1_i1	isogroup152
comp153_g1_i1	isogroup153
comp153_g1_i2	isogroup153
comp154_g1_i1	isogroup154
comp154_g1_i2	isogroup154
comp155_g1_i1	isogroup155
comp156_g1_i1	isogroup156
comp156_g1_i2	isogroup156
comp157_g1_i1	isogroup157
comp158_g1_i1	isogroup158
comp158_g1_i2	isogroup158
comp159_g1_i1	isogroup159
comp159_g1_i2	isogroup159
comp160_g1_i1	isogroup160
comp161_g1_i1	isogroup161
comp161_g1_i2	isogroup161
comp162_g1_i1	isogroup162
comp163_g1_i1	isogroup163
comp163_g1_i2	isogroup163
comp164_g1_i1	isogroup164
comp165_g1_i1	isogroup165
comp166_g1_i1	isogroup166
comp167_g1_i1	isogroup167
comp167_g1_i2	isogroup167
comp168_g1_i1	isogroup168
comp169_g1_i1	isogroup169
comp170_g1_i1	isogroup170
comp171_g1_i1	isogroup171
comp172_g1_i1	isogroup172
comp172_g1_i2	isogroup172
comp173_g1_i1	isogroup173
comp174_g1_i1	isogroup174
comp175_g1_i1	isogroup175
comp176_g1_i1	isogroup176
comp177_g1_i1	isogroup177
comp178_g1_i1	isogroup178
comp179_g1_i1	isogroup179
comp180_g1_i1	isogroup180
comp180_g1_i2	isogroup180
comp181_g1_i1	isogroup181
comp181_g1_i2	isogroup181
comp182_g1_i1	isogroup182
comp182_g1_i2	isogroup182
comp183_g1_i1	isogroup183
comp184_g1_i1	isogroup184
comp185_g1_i1	isogroup185
comp185_g1_i2	isogroup185
comp186_g1_i1	isogroup186
comp187_g1_i1	isogroup187
comp188_g1_i1	isogroup188
comp188_g1_i2	isogroup188
comp189_g1_i1	isogroup189
comp190_g1_i1	isogroup190
comp191_g1_i1	isogroup191
comp191_g1_i2	isogroup191
comp192_g1_i1	isogroup192
comp192_g1_i2	isogroup192
comp193_g1_i1	isogroup193
comp193_g1_i2	isogroup193
comp194_g1_i1	isogroup194
comp195_g1_i1	isogroup195
comp196_g1_i1	isogroup196
comp196_g1_i2	isogroup196
comp197_g1_i1	isogroup197
comp197_g1_i2	isogroup197
comp198_g1_i1	isogroup198
comp198_g1_i2	isogroup198
comp199_g1_i1	isogroup199
comp199_g1_i2	isogroup199
comp200_g1_i1	isogroup200
comp200_g1_i2	isogroup200
comp201_g1_i1	isogroup201
comp202_g1_i1	isogroup202
comp203_g1_i1	isogroup203
comp203_g1_i2	isogroup203
comp204_g1_i1	isogroup204
comp205_g1_i1	isogroup205
comp206_g1_i1	isogroup206
comp207_g1_i1	isogroup207
comp208_g1_i1	isogroup208
comp209_g1_i1	isogroup209
comp209_g1_i2	isogroup209
comp210_g1_i1	isogroup210
comp210_g1_i2	isogroup210
comp211_g1_i1	isogroup211
comp212_g1_i1	isogroup212
comp212_g1_i2	isogroup212
comp213_g1_i1	isogroup213
comp214_g1_i1	isogroup214
comp215_g1_i1	isogroup215
comp215_g1_i2	isogroup215
comp216_g1_i1	isogroup216
comp216_g1_i2	isogroup216
comp217_g1_i1	isogroup217
comp218_g1_i1	isogroup218
comp218_g1_i2	isogroup218
comp219_g1_i1	isogroup219
comp219_g2_i1	isogroup219
comp220_g1_i1	isogroup220
comp221_g1_i1	isogroup221
comp221_g1_i2	isogroup221
comp222_g1_i1	isogroup222
comp223_g1_i1	isogroup223
comp224_g1_i1	isogroup224
comp225_g1_i1	isogroup225
comp225_g1_i2	isogroup225
comp226_g1_i1	isogroup226
comp228_g1_i1	isogroup228
comp229_g1_i1	isogroup229
comp230_g1_i1	isogroup230
comp231_g1_i1	isogroup231
comp232_g1_i1	isogroup232
comp232_g1_i2	isogroup232
comp233_g1_i1	isogroup233
comp234_g1_i1	isogroup234
comp234_g1_i2	isogroup234
comp235_g1_i1	isogroup235
comp235_g1_i2	isogroup235
comp236_g1_i1	isogroup236
comp237_g1_i1	isogroup237
comp238_g1_i1	isogroup238
comp239_g1_i1	isogroup239
comp240_g1_i1	isogroup240
comp240_g1_i2	isogroup240
comp241_g1_i1	isogroup241
comp242_g1_i1	isogroup242
comp242_g1_i2	isogroup242
comp243_g1_i1	isogroup243
comp244_g1_i1	isogroup244
comp244_g1_i2	isogroup244
