isogroup39568	A0A024SH76	GO:0005576; GO:0016162; GO:0030248; GO:0030245
isogroup41368	A0A067XMP1	GO:0016491
isogroup20469	A0A084AFG6	GO:0016491
isogroup24161	A0A097ZPD4	GO:0016491; GO:0016114
isogroup17328	A0A098D065	GO:0034045; GO:0005774; GO:0000045; GO:0000422; GO:0015031
isogroup13369	A0A0A6YYL3	noMatch
isogroup21619	A0A0B4ZTQ2	GO:0031969; GO:0016021; GO:0016765
isogroup31252	A0A0B6VIJ5	GO:0016758
isogroup41627	A0A0C5PRW9	GO:0005789; GO:0016021; GO:0016213; GO:0006636
isogroup14498	A0A0D3QS97	GO:0005576; GO:0052689; GO:0016055
isogroup16774	A0A0D3QS97	GO:0005576; GO:0052689; GO:0016055
isogroup4598	A0A0G2K309	GO:0016021; GO:0005743; GO:0000064; GO:1990575
isogroup10200	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup10380	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup10747	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup1112	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup11466	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup11529	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup1177	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup12000	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup12552	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup12637	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup12715	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup13159	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup14037	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup14287	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup142873	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
