isogroup39568	A0A024SH76	 Exoglucanase 2 OS=Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30) OX=1344414 GN=cbh2 PE=1 SV=1
isogroup41368	A0A067XMP1	 Oxidoreductase ptaL OS=Pestalotiopsis fici (strain W106-1 / CGMCC3.15140) OX=1229662 GN=ptaL PE=2 SV=1
isogroup20469	A0A084AFG6	 Taurine hydroxylase-like protein SAT17 OS=Stachybotrys chartarum (strain CBS 109288 / IBT 7711) OX=1280523 GN=SAT17 PE=4 SV=1
isogroup24161	A0A097ZPD4	 Oxidoreductase andH OS=Emericella variicolor OX=1549217 GN=andH PE=1 SV=1
isogroup17328	A0A098D065	 Autophagy-related protein 11 OS=Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) OX=229533 GN=ATG11 PE=3 SV=1
isogroup13369	A0A0A6YYL3	 POTE ankyrin domain family member B OS=Homo sapiens OX=9606 GN=POTEB PE=1 SV=1
isogroup21619	A0A0B4ZTQ2	 2-acyl-4-prenylphloroglucinol 6-prenyltransferase, chloroplastic OS=Humulus lupulus OX=3486 PE=1 SV=1
isogroup31252	A0A0B6VIJ5	 UDP-glycosyltransferase UF6CGT1 OS=Gentiana triflora OX=55190 GN=UF6CGT1 PE=2 SV=1
isogroup41627	A0A0C5PRW9	 Fatty acid desaturase 2 OS=Tachysurus fulvidraco OX=1234273 GN=FADS2 PE=2 SV=1
isogroup14498	A0A0D3QS97	 Palmitoleoyl-protein carboxylesterase notum2 OS=Xenopus laevis OX=8355 GN=notum2 PE=2 SV=1
isogroup16774	A0A0D3QS97	 Palmitoleoyl-protein carboxylesterase notum2 OS=Xenopus laevis OX=8355 GN=notum2 PE=2 SV=1
isogroup4598	A0A0G2K309	 Mitochondrial ornithine transporter 1 OS=Rattus norvegicus OX=10116 GN=Slc25a15 PE=1 SV=1
isogroup10200	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup10380	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup10747	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup1112	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup11466	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup11529	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup1177	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup12000	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup12552	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup12637	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup12715	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup13159	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup14037	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup14287	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup142873	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup14450	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup14911	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup14943	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup14981	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
isogroup150500	A0A0H2URK1	 Pneumococcal serine-rich repeat protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=psrP PE=1 SV=1
